Site,Site,Site,Jordan River at Cudahy,Jordan River at Cudahy,Jordan River at Cudahy,Jordan River at Cudahy,Jordan River at Cudahy,Jordan River at Cudahy
Time America/Boise UTC-07:00,UTCOffset,Time UTC UTC+00:00,Temperature,Sp Cond,pH,ODOSat,ODO,Turbidity 
,,,C,uS/cm,,%,mg/L,FNU
1/1/2021 0:00,-7,1/1/2021 7:00,6.82,1701.91,8.04,70.25,8.52,76.02
1/1/2021 0:15,-7,1/1/2021 7:15,6.78,1707.41,8.04,70.23,8.52,75.96
1/1/2021 0:30,-7,1/1/2021 7:30,6.75,1709.03,8.04,69.6,8.45,72.88
1/1/2021 0:45,-7,1/1/2021 7:45,6.71,1712.52,8.04,69.97,8.51,74.73
1/1/2021 1:00,-7,1/1/2021 8:00,6.67,1713.4,8.05,70.63,8.6,84.14
1/1/2021 1:15,-7,1/1/2021 8:15,6.64,1715.19,8.06,71.31,8.69,76.04
1/1/2021 1:30,-7,1/1/2021 8:30,6.6,1716.17,8.06,70.99,8.65,72.78
1/1/2021 1:45,-7,1/1/2021 8:45,6.56,1718.63,8.07,70.78,8.64,70.5
1/1/2021 2:00,-7,1/1/2021 9:00,6.52,1723.82,8.07,72.21,8.82,60.6
1/1/2021 2:15,-7,1/1/2021 9:15,6.5,1724.88,8.08,72.58,8.87,57.75
1/1/2021 2:30,-7,1/1/2021 9:30,6.47,1723.43,8.08,72.81,8.91,57.96
1/1/2021 2:45,-7,1/1/2021 9:45,6.43,1722.44,8.09,72.19,8.84,59.79
1/1/2021 3:00,-7,1/1/2021 10:00,6.42,1720.59,8.1,72.8,8.92,59.28
1/1/2021 3:15,-7,1/1/2021 10:15,6.39,1720.84,8.1,73.12,8.96,63.62
1/1/2021 3:30,-7,1/1/2021 10:30,6.37,1718.56,8.1,73.92,9.07,61.97
1/1/2021 3:45,-7,1/1/2021 10:45,6.34,1716.45,8.1,73.44,9.01,62.31
1/1/2021 4:00,-7,1/1/2021 11:00,6.31,1714.73,8.11,73.32,9,63.34
1/1/2021 4:15,-7,1/1/2021 11:15,6.29,1712.41,8.11,73.83,9.07,65.88
1/1/2021 4:30,-7,1/1/2021 11:30,6.27,1711.24,8.1,74.15,9.12,64.29
1/1/2021 4:45,-7,1/1/2021 11:45,6.25,1710.12,8.12,74.13,9.12,62.88
1/1/2021 5:00,-7,1/1/2021 12:00,6.22,1708.25,8.11,73.93,9.1,66.65
1/1/2021 5:15,-7,1/1/2021 12:15,6.19,1707.3,8.12,73.87,9.1,64.91
1/1/2021 5:30,-7,1/1/2021 12:30,6.18,1705.98,8.12,74.27,9.15,64.94
1/1/2021 5:45,-7,1/1/2021 12:45,6.17,1705.56,8.12,74.73,9.21,65.55
1/1/2021 6:00,-7,1/1/2021 13:00,6.14,1705.46,8.11,74.04,9.13,67.28
1/1/2021 6:15,-7,1/1/2021 13:15,6.14,1701.63,8.11,74.41,9.18,66.75
1/1/2021 6:30,-7,1/1/2021 13:30,6.11,1700.6,8.11,73.58,9.08,66.46
1/1/2021 6:45,-7,1/1/2021 13:45,6.09,1698.08,8.11,73.38,9.06,67.66
1/1/2021 7:00,-7,1/1/2021 14:00,6.08,1693.81,8.11,73.6,9.09,69.12
1/1/2021 7:15,-7,1/1/2021 14:15,6.07,1689.92,8.1,73.52,9.08,72.41
1/1/2021 7:30,-7,1/1/2021 14:30,6.07,1687.5,8.1,73.63,9.1,69.15
1/1/2021 7:45,-7,1/1/2021 14:45,6.06,1682.75,8.09,73.5,9.09,66.95
1/1/2021 8:00,-7,1/1/2021 15:00,6.06,1678.39,8.09,73.04,9.03,67.29
1/1/2021 8:15,-7,1/1/2021 15:15,6.07,1674.66,8.08,73.87,9.13,67.2
1/1/2021 8:30,-7,1/1/2021 15:30,6.07,1668.51,8.09,74.23,9.17,68.13
1/1/2021 8:45,-7,1/1/2021 15:45,6.07,1666,8.08,74.06,9.15,68.89
1/1/2021 9:00,-7,1/1/2021 16:00,6.08,1662.75,8.09,74.75,9.24,63.69
1/1/2021 9:15,-7,1/1/2021 16:15,6.12,1658.44,8.09,75.67,9.34,64.93
1/1/2021 9:30,-7,1/1/2021 16:30,6.16,1655.09,8.11,76.14,9.39,66.58
1/1/2021 9:45,-7,1/1/2021 16:45,6.19,1653.63,8.12,76.85,9.47,70.04
1/1/2021 10:00,-7,1/1/2021 17:00,6.24,1651.29,8.12,77.7,9.56,70.48
1/1/2021 10:15,-7,1/1/2021 17:15,6.28,1649.29,8.13,78.06,9.6,71.06
1/1/2021 10:30,-7,1/1/2021 17:30,6.34,1647.28,8.13,78.51,9.64,72.47
1/1/2021 10:45,-7,1/1/2021 17:45,6.37,1649.01,8.12,78.38,9.61,71.94
1/1/2021 11:00,-7,1/1/2021 18:00,6.41,1647.87,8.12,78.91,9.67,71.81
1/1/2021 11:15,-7,1/1/2021 18:15,6.47,1646.7,8.13,79.86,9.77,89.79
1/1/2021 11:30,-7,1/1/2021 18:30,6.53,1648.6,8.15,80.49,9.83,85.4
1/1/2021 11:45,-7,1/1/2021 18:45,6.55,1649.1,8.13,80.13,9.78,85.57
1/1/2021 12:00,-7,1/1/2021 19:00,6.57,1651.16,8.11,80.17,9.78,98.83
1/1/2021 12:15,-7,1/1/2021 19:15,6.6,1652.51,8.1,80.24,9.78,93.24
1/1/2021 12:30,-7,1/1/2021 19:30,6.62,1654.29,8.09,80.56,9.82,113.58
1/1/2021 12:45,-7,1/1/2021 19:45,6.64,1657.81,8.1,80.42,9.8,123.59
1/1/2021 13:00,-7,1/1/2021 20:00,6.66,1659.79,8.09,80.56,9.81,129.62
1/1/2021 13:15,-7,1/1/2021 20:15,6.7,1661.33,8.08,80.24,9.76,90.77
1/1/2021 13:30,-7,1/1/2021 20:30,6.74,1665.2,8.08,80.1,9.73,107.89
1/1/2021 13:45,-7,1/1/2021 20:45,6.78,1666.97,8.07,80.12,9.73,87.93
1/1/2021 14:00,-7,1/1/2021 21:00,6.83,1669.37,8.07,80.41,9.75,91.55
1/1/2021 14:15,-7,1/1/2021 21:15,6.87,1672.09,8.06,79.58,9.64,94.3
1/1/2021 14:30,-7,1/1/2021 21:30,6.9,1673.44,8.07,79.2,9.59,97.54
1/1/2021 14:45,-7,1/1/2021 21:45,6.92,1673.01,8.05,78.68,9.52,98.7
1/1/2021 15:00,-7,1/1/2021 22:00,6.92,1675.12,8.04,78.2,9.46,93.64
1/1/2021 15:15,-7,1/1/2021 22:15,6.93,1675.21,8.03,77.68,9.39,97.12
1/1/2021 15:30,-7,1/1/2021 22:30,6.94,1674.78,8.03,76.89,9.3,97.41
1/1/2021 15:45,-7,1/1/2021 22:45,6.95,1675.67,8.02,75.97,9.18,100.12
1/1/2021 16:00,-7,1/1/2021 23:00,6.96,1675.74,8.02,76.06,9.19,93.88
1/1/2021 16:15,-7,1/1/2021 23:15,6.96,1676.6,8.03,75.62,9.14,92.68
1/1/2021 16:30,-7,1/1/2021 23:30,6.93,1675.98,8.02,74.61,9.02,91.66
1/1/2021 16:45,-7,1/1/2021 23:45,6.91,1675.75,8.02,74.3,8.99,93.44
1/1/2021 17:00,-7,1/2/2021 0:00,6.88,1675.89,8.01,74,8.96,91.11
1/1/2021 17:15,-7,1/2/2021 0:15,6.86,1677.45,8.02,73.26,8.87,90.45
1/1/2021 17:30,-7,1/2/2021 0:30,6.85,1677.65,8.01,73.31,8.88,95.17
1/1/2021 17:45,-7,1/2/2021 0:45,6.83,1680.27,8.01,72.33,8.77,95.18
1/1/2021 18:00,-7,1/2/2021 1:00,6.81,1680.89,8.02,72.77,8.83,93.23
1/1/2021 18:15,-7,1/2/2021 1:15,6.79,1683.41,8.02,72.57,8.81,93.73
1/1/2021 18:30,-7,1/2/2021 1:30,6.78,1684.16,8.02,72.12,8.75,94.61
1/1/2021 18:45,-7,1/2/2021 1:45,6.77,1685.7,8.03,72.05,8.75,93.94
1/1/2021 19:00,-7,1/2/2021 2:00,6.75,1685.97,8.03,71.96,8.74,95.51
1/1/2021 19:15,-7,1/2/2021 2:15,6.74,1687.23,8.03,71.63,8.7,98.14
1/1/2021 19:30,-7,1/2/2021 2:30,6.72,1685.23,8.04,72.09,8.76,99.88
1/1/2021 19:45,-7,1/2/2021 2:45,6.71,1685.19,8.04,71.5,8.69,95.83
1/1/2021 20:00,-7,1/2/2021 3:00,6.7,1683.81,8.04,72.02,8.76,99.17
1/1/2021 20:15,-7,1/2/2021 3:15,6.68,1681.88,8.04,71.76,8.73,96.7
1/1/2021 20:30,-7,1/2/2021 3:30,6.67,1678.73,8.05,71.42,8.69,96.52
1/1/2021 20:45,-7,1/2/2021 3:45,6.67,1676.33,8.04,72.03,8.77,99.29
1/1/2021 21:00,-7,1/2/2021 4:00,6.66,1673.02,8.04,71.65,8.72,99.84
1/1/2021 21:15,-7,1/2/2021 4:15,6.65,1668.12,8.04,71.32,8.69,104.71
1/1/2021 21:30,-7,1/2/2021 4:30,6.66,1663.35,8.04,71.58,8.72,109.66
1/1/2021 21:45,-7,1/2/2021 4:45,6.66,1660.52,8.03,71.26,8.68,105.93
1/1/2021 22:00,-7,1/2/2021 5:00,6.66,1655.96,8.04,71.18,8.67,109.07
1/1/2021 22:15,-7,1/2/2021 5:15,6.67,1652.77,8.05,71.45,8.7,95.07
1/1/2021 22:30,-7,1/2/2021 5:30,6.68,1650.27,8.04,71.52,8.71,111.2
1/1/2021 22:45,-7,1/2/2021 5:45,6.68,1648.97,8.04,71.37,8.69,107.66
1/1/2021 23:00,-7,1/2/2021 6:00,6.68,1649.83,8.04,71.01,8.64,100.78
1/1/2021 23:15,-7,1/2/2021 6:15,6.68,1649.41,8.04,70.48,8.58,109.72
1/1/2021 23:30,-7,1/2/2021 6:30,6.68,1651.13,8.05,71.05,8.65,109.91
1/1/2021 23:45,-7,1/2/2021 6:45,6.68,1654.64,8.04,70.81,8.62,110.47
1/2/2021 0:00,-7,1/2/2021 7:00,6.67,1659.29,8.04,70.65,8.6,134.95
1/2/2021 0:15,-7,1/2/2021 7:15,6.64,1662.03,8.05,71.45,8.7,112.36
1/2/2021 0:30,-7,1/2/2021 7:30,6.6,1667.04,8.05,70.29,8.57,114.78
1/2/2021 0:45,-7,1/2/2021 7:45,6.61,1671.5,8.05,71.32,8.7,109.05
1/2/2021 1:00,-7,1/2/2021 8:00,6.58,1676.03,8.06,71.52,8.73,119.29
1/2/2021 1:15,-7,1/2/2021 8:15,6.55,1680.09,8.06,71.73,8.76,110.43
1/2/2021 1:30,-7,1/2/2021 8:30,6.53,1682.85,8.06,71.47,8.73,112.2
1/2/2021 1:45,-7,1/2/2021 8:45,6.51,1685.88,8.07,71.15,8.7,115.76
1/2/2021 2:00,-7,1/2/2021 9:00,6.5,1686.58,8.07,71.67,8.76,124.1
1/2/2021 2:15,-7,1/2/2021 9:15,6.48,1689.65,8.08,72.5,8.87,114.89
1/2/2021 2:30,-7,1/2/2021 9:30,6.46,1690.68,8.08,72.58,8.88,118.21
1/2/2021 2:45,-7,1/2/2021 9:45,6.44,1691.14,8.08,72.68,8.9,114.34
1/2/2021 3:00,-7,1/2/2021 10:00,6.41,1689.94,8.09,72.71,8.91,118.7
1/2/2021 3:15,-7,1/2/2021 10:15,6.39,1690.4,8.1,73.49,9.01,119.15
1/2/2021 3:30,-7,1/2/2021 10:30,6.37,1690.77,8.1,73.3,8.99,115.12
1/2/2021 3:45,-7,1/2/2021 10:45,6.36,1690.69,8.1,74.03,9.08,127.71
1/2/2021 4:00,-7,1/2/2021 11:00,6.34,1691.29,8.1,74.29,9.12,133.43
1/2/2021 4:15,-7,1/2/2021 11:15,6.34,1691.74,8.11,74.71,9.17,127.92
1/2/2021 4:30,-7,1/2/2021 11:30,6.32,1693.08,8.11,74.98,9.21,119.56
1/2/2021 4:45,-7,1/2/2021 11:45,6.3,1692.93,8.11,75.32,9.25,122.64
1/2/2021 5:00,-7,1/2/2021 12:00,6.28,1694.18,8.12,75.03,9.22,117.24
1/2/2021 5:15,-7,1/2/2021 12:15,6.27,1695.33,8.13,76.23,9.37,136.63
1/2/2021 5:30,-7,1/2/2021 12:30,6.24,1697.25,8.13,76.41,9.4,110.89
1/2/2021 5:45,-7,1/2/2021 12:45,6.21,1697.66,8.13,76.69,9.44,134.06
1/2/2021 6:00,-7,1/2/2021 13:00,6.2,1698.1,8.13,76.44,9.42,114.07
1/2/2021 6:15,-7,1/2/2021 13:15,6.17,1698.75,8.14,76.26,9.4,126
1/2/2021 6:30,-7,1/2/2021 13:30,6.15,1697.5,8.14,76.58,9.44,118.88
1/2/2021 6:45,-7,1/2/2021 13:45,6.15,1698.61,8.13,76.98,9.49,124.26
1/2/2021 7:00,-7,1/2/2021 14:00,6.14,1694.33,8.14,76.84,9.48,114.12
1/2/2021 7:15,-7,1/2/2021 14:15,6.14,1693.5,8.14,76.98,9.49,112.18
1/2/2021 7:30,-7,1/2/2021 14:30,6.15,1690.9,8.13,77.13,9.51,130.14
1/2/2021 7:45,-7,1/2/2021 14:45,6.16,1688.85,8.13,77.14,9.51,105.01
1/2/2021 8:00,-7,1/2/2021 15:00,6.17,1686.6,8.13,76.88,9.48,100.18
1/2/2021 8:15,-7,1/2/2021 15:15,6.18,1683.33,8.12,76.5,9.43,139.98
1/2/2021 8:30,-7,1/2/2021 15:30,6.21,1679.24,8.12,76.74,9.45,111.94
1/2/2021 8:45,-7,1/2/2021 15:45,6.24,1676.72,8.12,76.96,9.47,112.48
1/2/2021 9:00,-7,1/2/2021 16:00,6.29,1671.08,8.13,77.22,9.49,106.91
1/2/2021 9:15,-7,1/2/2021 16:15,6.33,1665.93,8.12,77.72,9.54,101.19
1/2/2021 9:30,-7,1/2/2021 16:30,6.36,1660.88,8.13,77.86,9.55,111.65
1/2/2021 9:45,-7,1/2/2021 16:45,6.4,1653.39,8.12,77.06,9.44,115.01
1/2/2021 10:00,-7,1/2/2021 17:00,6.45,1648.09,8.14,78.45,9.6,107.42
1/2/2021 10:15,-7,1/2/2021 17:15,6.51,1641.13,8.15,78.77,9.63,115.99
1/2/2021 10:30,-7,1/2/2021 17:30,6.59,1633.77,8.14,79.3,9.67,125
1/2/2021 10:45,-7,1/2/2021 17:45,6.69,1629.81,8.17,79.71,9.7,118.47
1/2/2021 11:00,-7,1/2/2021 18:00,6.78,1624.36,8.14,79.06,9.6,123.47
1/2/2021 11:15,-7,1/2/2021 18:15,6.84,1619.51,8.09,79.08,9.59,122.29
1/2/2021 11:30,-7,1/2/2021 18:30,6.91,1615.36,8.1,81.2,9.83,117.24
1/2/2021 11:45,-7,1/2/2021 18:45,6.95,1612.76,8.09,79.99,9.67,121.81
